Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Sugar_From_Other,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax_,Gov_Subsidies_,Education_Campaign_,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield,Gov_Tax,Gov_Subsidies,Education_Campaign
Mexico,2023,MEX,North America,Central America,117925527.8,17615.36667,36.94600773,4356877.463,79.4107281,28.96327704,10.40371995,-18.7777251,101.3710793,101.2320612,6.250118995,37.36175821,3674722.667,3997228.46,2.28411795,1,0,,12.43518189,5,70.08069076,1,0,0
Brazil,2018,BRA,South America,South America,192144750.5,25339.4075,15.03378181,2888662.254,53.42936633,26.80074709,52.9987523,-33.22886573,19.94325295,41.19256215,8.373519465,7.413121416,9982686.665,7504825.305,3.142366777,0,0,0,62.72849178,1,66.01619505,0,0,0
USA,1994,USA,North America,Northern America,154805946.8,11243.21125,50.87864,7876316.037,57.96936134,33.36471903,17.54621826,-8.880298632,15.05405621,139.4074736,13.42314563,34.42032728,5816510.811,6423367.157,1.875489102,1,0,0,36.99301905,3,53.87185312,1,0,0
India,2020,IND,Asia,South Asia,55843133.86,8431.992869,59.09547528,3300076.536,85.10893289,36.30960277,45.51482391,-66.93335956,281.3084189,161.9216023,11.90541919,20.48220888,5187507.509,9167882.996,3.123494266,0,1,1,57.10916509,5,88.43673905,0,1,1
Russia,1999,RUS,Europe,Eastern Europe,243203448.7,12556.48229,30.31541599,7372813.717,61.74621628,20.71857285,4.57618306,12.95902781,118.0309968,83.0642398,4.477834444,11.23612191,4229947.294,8666661.067,4.602419526,0,0,1,17.38457463,2,71.83361572,0,0,1
Brazil,1963,BRA,South America,South America,142186364.3,4027.467231,30.78880869,4377748.769,58.23765578,18.72598333,1.805312783,21.23104811,190.1409799,84.36133582,11.69731615,18.51965187,7771864.319,2466251.891,2.308823322,1,0,1,46.74990512,3,99.23916255,1,0,1
China,1986,CHN,Asia,East Asia,46816223.85,14265.46971,18.24958575,854376.6916,53.56010353,13.47666121,59.72913898,-26.76590371,130.0369736,50.00386495,13.24974843,35.30487448,7226770.982,3430919.976,4.737125157,0,1,1,62.137465,1,76.9084564,0,1,1
Brazil,1975,BRA,South America,South America,50897073.04,34672.37064,24.92475273,1268596.96,65.71819978,33.48436577,7.381096634,-6.583662175,71.89056287,68.29382247,4.531783023,9.274468618,6442543.165,2744920.563,4.370825532,0,0,0,19.67922859,2,64.15011799,0,0,0
USA,1977,USA,North America,Northern America,239293554.7,32748.35579,26.05304884,6234326.668,52.679283,38.84548154,45.9515393,-37.47630383,264.5301312,71.38535381,3.400399195,8.450078726,1747995.8,5178544.853,0.597942586,0,1,0,36.58382094,2,95.94050851,0,1,0
Germany,1966,DEU,Europe,Western Europe,211194962.1,27947.56218,15.11232799,3191647.537,69.8792184,11.83625717,36.27100689,-17.98648246,285.4013616,41.40777869,3.084457647,38.80078908,1187957.811,673641.024,3.510692453,0,0,0,12.26436692,3,99.16776965,0,0,0
Germany,1970,DEU,Europe,Western Europe,152451857.8,519.176942,25.14689495,3833690.854,86.76818948,21.02448336,27.17717166,-34.9698445,296.4748429,68.90249217,2.86816977,15.27346812,4912691.851,3610894.228,2.030429227,0,1,1,16.4674721,5,49.4104363,0,1,1
USA,1967,USA,North America,Northern America,92518371.42,6726.20899,63.97169858,5918557.369,81.48537381,31.96181267,2.21524126,-15.66242773,21.99765704,175.2824541,3.70418867,35.14592354,7992345.771,9245394.37,1.645210615,0,0,0,26.05142812,1,73.1483746,0,0,0
Indonesia,2018,IDN,Asia,Southeast Asia,138696089,42222.03672,26.15007911,3626913.7,51.62695079,27.26150348,19.71772191,1.393823822,24.60688384,71.65121676,13.06549602,24.65280868,698666.1321,7658653.469,3.81732918,0,1,0,83.58202227,5,65.51424897,0,1,0
France,2023,FRA,Europe,Western Europe,191308577.6,13951.0493,22.83841704,4369185.079,61.99032656,33.52608076,54.00543688,-49.52184421,258.8102,62.5772627,12.12926497,13.41441574,8975783.282,3312365.986,3.781019757,0,0,0,86.27944776,1,69.54722652,0,0,0
Germany,2011,DEU,Europe,Western Europe,263905412.9,45653.84498,30.00174839,7917623.797,57.50577132,5.565087269,54.30915374,-17.38001233,61.08564031,82.20479059,14.93037898,15.32514862,8497239.39,4413015.04,3.594680768,0,0,0,29.15069685,3,48.78134792,0,0,0
Russia,2023,RUS,Europe,Eastern Europe,167204492.4,43790.03268,67.41774747,11272550.25,52.67759421,36.89716097,35.98191481,-25.55666998,172.8801587,184.7246281,8.176378901,19.41854947,2059684.992,7108794.216,0.672585699,,1,0,66.43617523,2,76.08407909,0,1,0
India,1965,IND,Asia,South Asia,83743853.14,8168.88819,54.69764357,4580591.43,54.34562192,7.147311816,34.48049313,4.026573133,178.1541063,149.8715434,12.47361285,10.23359627,4116017.952,9324586.671,3.16780268,0,0,1,68.55090491,2,83.98165395,0,0,1
Mexico,2015,MEX,North America,Central America,13779234.49,44958.52609,18.11299064,249583.1454,86.3257749,20.59173522,25.53589766,-32.45340778,201.9647189,49.62959436,7.757906301,29.84848901,618068.4105,7718241.678,3.179091171,,0,0,60.26209577,3,48.63701783,0,0,0
Germany,2007,DEU,Europe,Western Europe,53461061.72,31577.82411,53.91585368,2882398.781,62.4033286,14.65175394,46.53389822,-23.58898076,20.89819733,147.7294391,10.52403619,19.61794197,461791.0438,9798578.956,4.85095896,0,1,0,57.81073475,2,37.06863214,0,1,0
India,1964,IND,Asia,South Asia,195403108.6,31699.19686,54.80526474,10709119.1,65.68895505,37.48678062,52.97668444,-56.15242012,99.50039283,150.1664254,8.966728771,36.12293874,4163549.462,9924400.071,4.00969234,0,1,1,49.21690642,5,54.4728693,0,1,1
France,2016,FRA,Europe,Western Europe,48970653.08,42707.65335,66.75890985,3269227.414,69.42803473,14.63000967,43.65045461,-27.70849901,159.1062532,182.919413,8.933741706,37.04783797,3268252.43,1920305.616,2.123901689,0,1,,25.87839269,2,57.66533989,0,1,0
Russia,1965,RUS,Europe,Eastern Europe,144980326.4,20550.26035,62.92118208,9122333.514,79.79716393,18.06679248,31.51715663,-29.38111303,60.57407072,172.4040389,6.637753346,36.9775954,8058391.32,258458.8454,3.367259951,0,0,0,21.08846875,4,70.48818461,0,0,0
Russia,1997,RUS,Europe,Eastern Europe,209987549.6,36895.53317,11.1876739,2349272.229,81.93481896,36.0919021,38.07561529,-56.10233636,283.7692723,30.6542265,9.810575345,27.72584515,2726235.049,8377814.759,4.50522971,1,0,0,39.52872754,3,69.12181367,1,0,0
Australia,2019,AUS,Oceania,Australia & New Zealand,93159245.52,33554.33564,34.54747519,3218416.723,88.54918171,23.80921491,13.18444093,-25.54283755,250.3569707,94.66008202,6.191726162,21.66303989,7810837.666,8925543.564,4.162882692,0,1,0,28.62361735,5,49.30378307,0,1,0
Australia,2020,AUS,Oceania,Australia & New Zealand,201062661.1,38689.97606,50.69458258,10192787.67,58.42712282,36.43705972,59.4737133,-54.33789584,50.43330413,138.9031563,4.988376977,7.953198683,3052716.047,4534906.609,2.453780437,0,1,1,74.23160329,2,66.83621313,0,1,1
Indonesia,1961,IDN,Asia,Southeast Asia,174740546.4,33179.35299,68.26897206,11929357.48,62.04264714,28.13391867,56.15209757,-46.32866337,204.5523421,187.0569834,13.31623788,31.44319793,5529376.214,646462.4982,4.664615984,0,0,0,57.8813959,1,55.77960888,0,0,0
Brazil,1990,BRA,South America,South America,132242793,4462.712633,10.53505668,1393185.319,62.51842861,7.771706092,57.39810795,-27.68824265,128.9536936,28.8660553,10.63775201,8.117162805,8542364.416,1700978.328,4.881664147,1,0,,66.93184312,3,55.61146659,1,0,0
Australia,1998,AUS,Oceania,Australia & New Zealand,269276398.2,14989.19461,28.93512868,7791547.232,67.81035173,20.21753375,10.01078982,1.961324703,100.3335117,79.28225258,6.476321315,11.38647039,1637971.487,1159851.76,3.95993388,0,0,0,49.72790934,5,85.78671904,0,0,0
Mexico,1991,MEX,North America,Central America,207925608.2,47026.08321,36.99454717,7692113.723,82.29617406,11.17359706,39.16689955,-32.63667067,94.37953775,101.3650593,11.04634432,34.49681564,3493547.6,1776397.285,1.290745551,0,0,,19.10113826,2,54.69184559,0,0,0
Russia,1968,RUS,Europe,Eastern Europe,108818512.9,11559.54684,31.86087258,3467052.774,59.57824342,7.279665021,39.38060286,-6.238511299,202.173677,87.29879087,3.076930432,34.88020147,7249578.84,815835.481,3.862900467,,0,1,70.96421434,2,82.37670632,0,0,1
Australia,1974,AUS,Oceania,Australia & New Zealand,241475095.5,23876.88985,34.6255988,8361219.777,81.31687066,18.08366259,21.30577957,-20.70631282,272.0315465,94.8741407,15.64505,20.21463453,2096054.399,1168621.399,2.311406785,0,0,1,58.77899368,5,87.92842433,0,0,1
South Africa,1980,ZAF,Africa,Sub-Saharan Africa,221692562,18167.9348,28.99163908,6427230.746,58.16160074,36.7950181,51.91080898,-46.86742782,252.5217893,79.43709109,4.923915834,30.19893252,698026.2628,7066472.649,1.599263417,1,0,0,58.92038223,4,95.51651991,1,0,0
China,2005,CHN,Asia,East Asia,237713505.7,4771.786805,68.09046992,16186024.31,78.40590469,9.118447712,46.94048305,-34.46483545,111.2000729,186.5678876,15.80694174,12.7044388,9790175.998,334553.8999,1.017337848,0,0,,32.45889697,5,98.33292548,0,0,0
USA,2012,USA,North America,Northern America,192645838.9,9468.840105,57.21091063,11021443.87,81.96005279,5.237023498,43.1769685,-30.37404479,215.2451302,156.7578951,4.203643801,36.38392863,3461998.92,8639646.974,0.95879194,0,0,0,55.87788469,5,70.20516218,0,0,0
Indonesia,1987,IDN,Asia,Southeast Asia,114431814.1,14690.0225,52.88289426,6051485.527,84.15134963,37.72811924,1.733398095,-23.61286697,162.9419504,144.8991303,12.42298195,27.89024837,8786052.633,8334507.481,2.315445194,0,0,1,82.27362725,4,66.4896646,0,0,1
USA,2004,USA,North America,Northern America,105224976.2,23434.26504,31.69558828,3335167.521,70.41142166,23.55369218,59.43376244,-53.39887628,137.7065952,86.84591188,5.616618364,35.01959867,2205655.259,6187897.499,3.028181718,0,1,0,40.59737413,5,96.68993609,0,1,0
Australia,1986,AUS,Oceania,Australia & New Zealand,196591256.9,43788.93729,62.29903276,12247445.15,63.14859947,24.55031015,43.1023224,-30.80123201,96.05059181,170.6993497,15.9812779,18.71690366,5300067.327,9172089.736,3.548875464,0,0,0,56.65880208,1,48.55624208,0,0,0
South Africa,1964,ZAF,Africa,Sub-Saharan Africa,40139102.38,26023.00597,11.06705367,444221.6003,80.89536933,37.49585534,58.16659041,-76.55781508,33.55555164,30.32372705,6.352102633,6.400179466,8679699.972,893053.5015,4.398803536,0,0,0,20.07040768,2,53.99588679,0,0,0
China,1976,CHN,Asia,East Asia,246154390.8,32769.29556,14.32220421,3525473.451,62.83665829,29.50625674,5.206789064,2.450295912,65.80414863,39.24283953,2.843930056,39.76042899,619903.8646,2557584.201,1.151976738,0,1,0,40.26908805,5,47.50367745,0,1,0
Russia,1996,RUS,Europe,Eastern Europe,111730279.8,21584.78001,67.01376046,7487466.208,55.92355105,33.93844929,41.6609668,-31.52296714,174.2577945,183.6177037,3.977128602,31.67525124,7538475.148,4802610.679,1.91251968,1,1,0,85.67525209,4,83.50978927,1,1,0
South Africa,2017,ZAF,Africa,Sub-Saharan Africa,189481224.8,43568.08642,41.85423972,7930592.607,83.38745795,31.96727167,44.68861809,-60.04334771,221.3103022,114.6806168,14.08485835,10.82525217,1326444.127,1366609.256,0.647163829,0,1,1,31.60910219,1,43.68406402,0,1,1
Brazil,1983,BRA,South America,South America,150220110.6,33299.76198,15.36475542,2308095.258,66.44963719,26.41501018,3.880307991,3.255044641,20.66310052,42.09942985,3.259137543,27.40327613,2281381.693,6265531.202,3.491358148,0,1,0,74.50888413,1,84.62820196,0,1,0
Mexico,1990,MEX,North America,Central America,156278621.1,4986.19753,66.694471,10422919.96,72.83335065,29.09395421,3.868863367,-5.796168231,119.9581263,182.7428506,14.29774312,38.09664396,3553069.628,8333024.088,0.602467212,0,1,1,82.67357244,1,92.1696342,0,1,1
Russia,1994,RUS,Europe,Eastern Europe,221663837.7,24136.30976,68.36481286,15154006.78,86.73776186,24.62460481,45.73596594,-57.09833261,58.0830315,187.3195872,5.523791842,36.43900884,2957901.248,8492200.795,0.707996022,0,0,0,89.41080063,4,68.291672,0,0,0
Australia,2000,AUS,Oceania,Australia & New Zealand,188374346,41448.09312,62.29704943,11735165.95,55.43186485,17.43890564,47.86077429,-20.73154477,184.6150902,170.6939154,7.023805112,37.89904546,3734564.438,3010835.601,3.191632127,1,1,1,44.13072901,3,51.94539647,1,1,1
USA,2000,USA,North America,Northern America,75842387.52,36815.93996,20.50626057,1555243.761,72.28735586,14.98734049,54.61069266,-41.88538901,260.7503185,56.18715397,15.22767808,8.847813712,6953111.638,1500028.874,1.371456137,,0,1,28.48285347,4,82.54247602,0,0,1
Brazil,2013,BRA,South America,South America,23193553.5,45312.90182,23.10210908,535820.0029,72.35058367,11.15805592,46.32243466,-29.83107424,279.6121851,63.29977889,11.95576797,34.89582139,2438061.279,7781709.75,3.460353231,0,1,0,52.1606131,4,45.75938921,0,1,0
USA,1963,USA,North America,Northern America,252229986.1,11769.55803,31.45323542,7933449.133,84.47565223,17.39006936,14.42228221,-16.28800381,266.7135462,86.18186504,4.621077488,36.19607024,6131806.532,3545201.697,2.103137598,0,0,1,55.08114052,1,65.3819339,0,0,1
India,2022,IND,Asia,South Asia,265583328.4,48870.02213,42.65591218,11328699.13,63.65035889,25.19137002,58.1221258,-46.9638547,262.9845521,116.8771994,6.496640227,11.32778621,5949530.7,6538374.637,1.666924697,,1,0,75.96417523,3,89.85729154,0,1,0
France,1979,FRA,Europe,Western Europe,50184463.34,14611.34456,69.49179162,3487408.269,66.04856359,25.56380593,16.03431312,-7.646682639,184.2704798,190.407509,9.783231202,29.76335634,2423329.163,791002.6235,3.922347723,0,1,0,21.09691531,2,41.04822205,0,1,0
Australia,2002,AUS,Oceania,Australia & New Zealand,93533643.01,2983.903941,67.14868054,6280660.715,70.77172647,28.91967682,43.63288552,-43.32428881,80.46172274,183.9873847,15.05025656,29.24546532,797045.9307,4891529.75,3.835918088,0,1,1,43.91270015,2,41.36669214,0,1,1
Indonesia,1976,IDN,Asia,Southeast Asia,85420372.2,25035.79505,64.87403882,5541564.542,56.68799929,35.77988332,31.76251051,-24.23039312,226.6170852,177.7548664,12.73547671,29.10320122,2509292.628,2987736.896,0.773186784,1,0,0,87.2004925,1,46.1011377,1,0,0
France,2005,FRA,Europe,Western Europe,281297119.7,5961.767555,10.80295942,3038841.369,68.82645578,27.81468585,7.338491307,-3.979632931,220.1071829,29.60010882,11.28433709,25.04274087,6498863.178,6780283.186,3.760026428,1,0,0,88.52692353,2,67.93054413,1,0,0
USA,1969,USA,North America,Northern America,62228437.2,34224.89158,54.21581244,3373765.279,67.44327177,10.98101985,55.62774207,-34.0520337,58.32934149,148.5513261,7.926811087,13.33271023,2545272.221,6112736.339,4.756679862,0,0,0,57.48281057,2,90.5415508,0,0,0
Germany,1996,DEU,Europe,Western Europe,50795230.4,45077.5354,61.99498099,3149049.343,57.895779,5.89942121,35.27557422,0.92922557,66.50037155,169.8662479,11.93102664,8.764264559,2128917.661,4535197.317,2.631110627,0,0,1,54.35771528,3,83.84775433,0,0,1
France,1980,FRA,Europe,Western Europe,55369726.37,46106.49196,26.66316942,1476332.395,83.32090075,11.89054867,5.508964542,-0.720413966,41.70776049,73.05708421,4.860734638,13.60172077,9368819.826,9327043.513,2.894624012,0,0,0,20.79962168,3,32.20770223,0,0,0
France,1980,FRA,Europe,Western Europe,219230883.7,30548.34351,19.27231222,4225086.039,67.24135047,36.7835841,23.00135297,-27.02628754,154.6188066,52.80613549,9.843553451,37.00294334,9585741.773,5453046.317,2.022990456,0,0,0,86.44443759,3,45.54177252,0,0,0
China,2019,CHN,Asia,East Asia,266517933.4,26995.61111,53.6486971,14298339.88,62.24263642,24.86791222,45.89981175,-33.01036039,103.2531848,146.9974301,10.51661392,12.89959289,3994494.894,139660.7127,3.937645774,0,0,1,24.75714323,1,68.75442796,0,0,1
Germany,2008,DEU,Europe,Western Europe,118616855.8,49702.57545,10.90445417,1293452.067,55.21496946,34.70124184,37.10520834,-27.02141965,271.0353895,29.87820441,11.19235071,20.11195946,7772259.118,5245459.31,3.940889708,0,0,0,13.00762787,2,36.58585768,0,0,0
USA,1975,USA,North America,Northern America,41687891.41,29181.57309,66.15578314,2757895.103,53.58991177,13.20079541,13.40971703,19.79957578,20.62871081,181.2668458,6.67653086,20.43175862,717511.8405,612769.6583,4.512414572,1,0,0,51.32843854,3,54.2386821,1,0,0
Japan,1992,JPN,Asia,East Asia,176130877.2,46409.18703,15.14504688,2667510.392,88.40907574,29.84582122,34.1652271,-52.42012406,103.9840309,41.49742844,3.866539197,37.35241339,9046734.614,9610368.89,3.75493043,,0,1,62.35984042,4,59.10198253,0,0,1
Indonesia,1969,IDN,Asia,Southeast Asia,63770552.54,45871.455,34.73996039,2215386.469,89.80613752,30.6085967,18.53176878,-38.94650299,264.0461199,95.18749147,15.37389194,9.026156834,3458636.019,7417684.693,4.907764427,0,0,0,62.42862082,2,40.73374447,0,0,0
Russia,2003,RUS,Europe,Eastern Europe,20181282.76,14830.93289,68.88186023,1390124.298,85.91701535,33.33373181,31.63617373,-50.88692089,299.7083664,188.736297,5.57584663,21.74856526,7659811.949,75538.77397,4.865300184,0,0,0,75.38197196,3,39.85972041,0,0,0
Germany,1977,DEU,Europe,Western Europe,265983182.1,1180.678241,69.23431407,18415163.17,68.34525729,23.74299537,19.07807995,-11.1663326,219.6752191,189.7020206,7.975120431,33.3312673,6557985.031,4877970.225,2.338098049,1,1,1,68.5622319,3,35.80945912,1,1,1
USA,1992,USA,North America,Northern America,261381541.6,22238.83619,55.43936864,14490827.64,82.31663039,32.77290464,29.77675199,-44.86628702,271.1936192,151.9038701,14.59949962,7.16104966,4029943.901,9432791.322,3.746885857,0,1,0,26.44105172,1,38.70373799,0,1,0
France,1988,FRA,Europe,Western Europe,292797137.9,43137.82174,59.54725151,17435264.81,83.37128794,37.74055255,50.52982021,-71.6416607,14.67601183,163.1594691,11.09597458,31.09930462,766823.8077,7983167.595,0.581870357,0,0,,84.73442731,3,62.94769624,0,0,0
USA,1990,USA,North America,Northern America,142727421.7,41888.64375,67.86609824,9686353.224,61.99236843,38.50877076,12.72100933,-13.22214852,233.806759,185.9531092,6.359644976,8.291086065,6155412.934,2730776.445,2.235553229,0,0,1,26.57639898,1,68.05860003,0,0,1
Mexico,1983,MEX,North America,Central America,88906358.26,30381.62478,65.28291811,5804066.506,73.44116201,9.390280269,0.107338212,17.06121951,143.8714636,178.8751956,9.738662932,20.83256447,719670.4212,6766744.044,2.33794309,0,0,0,39.37379556,2,33.34841973,0,0,0
Indonesia,2019,IDN,Asia,Southeast Asia,231165339.9,8254.591296,45.4370611,10503473.67,88.27288067,26.85076954,9.299805935,-24.42345615,210.2255887,124.4975474,13.9763385,10.5286125,9593543.013,7677486.064,4.24005263,0,1,1,57.11320684,1,52.16746147,0,1,1
India,1971,IND,Asia,South Asia,54967984.69,5825.59184,52.75010376,2899566.896,61.20271201,8.972009023,50.51139108,-20.68611211,134.6884447,144.5352843,16.07333686,18.64406278,4288340.678,6488263.915,1.727786936,0,1,1,32.29003262,2,79.91581791,0,1,1
Germany,1979,DEU,Europe,Western Europe,73744330.97,47756.7582,43.59547601,3214919.211,76.51545497,37.29049337,24.90343378,-38.70938212,175.0997611,119.4516043,11.36297862,6.305012621,2910214.132,8962431.28,1.463094577,1,0,0,30.78205044,2,60.29077601,1,0,0
Mexico,1965,MEX,North America,Central America,77449105.24,21359.18526,37.92219281,2937039.902,76.50164501,38.43878532,44.38556525,-59.32599558,85.3997117,103.9068083,6.168448768,34.47627661,2082897.199,2341353.57,2.580636506,0,0,1,60.89755816,5,52.87291593,0,0,1
Australia,1967,AUS,Oceania,Australia & New Zealand,285534203.6,32583.97033,62.25388607,17775613.78,68.10682607,22.48572056,1.845691796,7.561761572,176.4876523,170.5756478,13.99464928,9.683231488,744200.9561,7465390.489,1.520913013,0,1,1,89.16821956,2,87.80692047,0,1,1
Australia,1973,AUS,Oceania,Australia & New Zealand,219217052.7,45340.28854,52.97163229,11612285.11,69.61315421,38.59626235,8.780867457,-16.99028402,94.33683169,145.1422725,13.73184711,11.56142765,7081822.037,6036863.327,1.289538929,0,0,0,29.77211327,1,76.81233909,0,0,0
India,1964,IND,Asia,South Asia,40974742.98,43559.71223,60.88805107,2494872.243,68.25530049,31.8184568,34.13699858,-34.21075587,91.27267646,166.8332599,14.96006308,21.03782647,9905959.156,9660149.989,2.63331388,0,1,1,59.04647511,3,86.87002403,0,1,1
Indonesia,2013,IDN,Asia,Southeast Asia,28760917.56,28561.70752,11.23421262,323106.263,70.84307692,29.35785837,43.2182239,-43.41915919,104.8632927,30.78174258,4.02969406,5.681128495,4590843.392,6839321.776,1.726375525,0,0,0,55.319738,4,31.21232459,0,0,0
China,1995,CHN,Asia,East Asia,253001641.2,24651.30644,42.4715359,10745368.29,55.95111184,25.32652298,47.27314854,-28.55078336,68.22203495,116.3720084,7.72317796,37.23729892,7046413.806,4333122.834,1.047627515,0,0,0,11.28330955,2,60.12733627,0,0,0
Mexico,2013,MEX,North America,Central America,240880022.6,36895.33105,26.41859384,6363711.482,81.78988448,19.23721576,38.58093168,-39.60803192,74.59796569,72.38694713,5.643931001,19.47362172,4844523.188,1161012.608,1.64920343,0,1,0,13.71212584,5,77.28009861,0,1,0
France,2007,FRA,Europe,Western Europe,201627378.8,17807.46177,38.37060859,7736565.234,76.44300451,38.73230397,45.40097782,-60.5762863,280.1421053,105.1354675,5.694066557,23.54200966,4046710.716,6366510.516,3.863565453,0,1,1,85.53135615,4,74.60368536,0,1,1
China,1997,CHN,Asia,East Asia,59634095.07,31456.83619,44.8427539,2674157.049,88.95289093,11.89679707,9.94513392,-10.79482192,141.7918663,122.8691457,7.781066546,35.43123559,3626660.348,9582422.33,0.990080592,0,0,1,67.83338671,5,62.26830007,0,0,1
Germany,1962,DEU,Europe,Western Europe,144604778.1,1646.045464,59.97430069,8672570.444,59.82572756,33.08882639,39.49044033,-32.40499429,188.1010051,164.3295839,3.997382031,25.16235395,8949462.13,3320867.613,0.928851692,0,1,0,22.66356598,4,63.70448585,0,1,0
Mexico,1995,MEX,North America,Central America,181215057.7,41303.47176,7.072052096,1281562.329,55.83872972,17.86085295,25.51754598,0.782871349,175.8128946,19.37742274,13.18687652,7.790410132,7603624.701,6573491.1,2.338671199,0,0,0,38.26348602,4,51.17825323,0,0,0
Indonesia,1981,IDN,Asia,Southeast Asia,279709120.5,49902.59762,15.65891922,4379942.525,63.70216263,31.36359972,54.89235946,-49.95812181,86.96783527,42.90543867,13.433775,33.10954138,8588112.953,7859369.48,1.230721944,0,0,0,55.28267726,3,47.75083444,0,0,0
India,1967,IND,Asia,South Asia,51657698.32,47757.97137,64.89397318,3352273.289,70.38965613,10.7290691,36.91708181,-18.03580703,10.05176931,177.8094865,15.75611939,37.05717195,965195.5382,8752614.952,2.242907329,0,0,0,67.3871979,1,43.20210677,0,0,0
China,2020,CHN,Asia,East Asia,155118595.3,18314.79461,67.87259615,10528301.78,58.20038218,18.06565088,32.50011178,-8.76614484,40.25558563,185.9709134,4.474977986,33.2884014,3621682.783,7654745.722,4.622098204,0,0,1,20.03160653,4,70.86495301,0,0,1
